BoundayID,ShiftAmount,ActualArea,Ratio
0,56535981,7.05E+06,0.124634
1,79469975,0,0
2,56958487,9.00E+06,0.158034
3,28689093,2.87E+06,0.0998909
4,0,0,0
5,25905093,1.09E+07,0.421291
6,10534712,0,0
7,12985518,1.02E+07,0.782258
8,2908625,2.91E+06,1
9,12241768,0,0
10,13232962,4.76E+06,0.359545
11,22953156,1.35E+07,0.587311
12,11557050,8.64E+06,0.747218
13,27879543,9.55E+06,0.342519
14,19423337,0,0
15,36521468,2.09E+07,0.571614
,,,0.324644681
